,Model,Time to Train,Time to Predict,F-score,Precision,Recall,Accuracy
0,Naive Predictor,0.0,0.0,0.29625151148730355,0.2519280205655527,1.0,0.2519280205655527
1,SVC Without PCA,1.848622600082308,0.0019200998358428478,0.7837837837837838,0.7435897435897436,1.0,0.7435897435897436
2,KNN Without PCA,16.56444239988923,0.014680400025099516,0.7975460122699387,0.7761194029850746,0.896551724137931,0.7307692307692307
3,RFC Without PCA,16.144419400021434,0.013965100049972534,0.7837837837837838,0.7435897435897436,1.0,0.7435897435897436
4,SVC With PCA,1.9011029000394046,0.001007499871775508,0.7734806629834253,0.7368421052631579,0.9655172413793104,0.717948717948718
5,KNN With PCA,16.72655629995279,0.011379299918189645,0.7975460122699387,0.7761194029850746,0.896551724137931,0.7307692307692307
6,RFC Without PCA,16.22143130004406,0.014325600117444992,0.7837837837837838,0.7435897435897436,1.0,0.7435897435897436
